卷,章,模块,场景,关键事件,关键线索/道具,人物关系进展,Iris动机/成长,爽点/钩子,延迟揭示点控制,伏笔设置,伏笔回收,备注
卷一,第14章,模块4-对抗,法医/档案,Grace尸检底稿全文揭示,"E.K.签字确认restricted supervisory path",-,"父亲责任坐实","情感冲击:父亲亲手压案",-,-,"设置:父亲录像伏笔","父女关系破裂"
卷一,第15章,模块4-对抗,发布会,Iris逼官方承认独立复核正当性,-,-,"从私人到公共","打脸爽点:发布会胜利",-,-,-,"小高潮"
卷一,第16章,模块4-对抗,公寓/法律,封口令送达,Hurst音频反击,-,"共同面对压力","反击:用证据说话","爽点:反击封口令",-,"回收:Hurst音频",,""
卷一,第17章,模块5-高潮,停车场,Grace现身确认活着,"给MCS shard(后半本账目录)","与床伴关系结束(暗示)","姐姐活着但\"不在\"","终局钩子:Grace活着",-,"设置:Grace为任务布置者",,"镜像威胁初显"
卷一,第18章,模块5-高潮,追踪/调查,B-layer真相确认,Meridian Continuity Solutions浮出水面,"Adrian与Iris合作深化","接近系统核心","信息升级:壳公司网络",-,"设置:Meridian与父亲关系",,""
卷一,第19章,模块5-高潮,秘密地点,父亲录像,"E.K.承认设计\"方法\"而非账本",-,"理解父亲动机","情感冲击:父亲明知故犯",-,-,"回收:父亲Basement权限","父亲伦理责任"
卷一,第20章,模块5-高潮,Pier 9,姐妹对峙,"Grace\"验收\"Iris,给后半本账目录","与Adrian暧昧积累(卷二铺垫)","被姐姐验收而非团圆","卷尾爆点:入口已开,不给答案",影账守到卷二,"设置:影账真正存在(仅暗示)","回收:照片疤痕","开放式结尾;CP张力保留"
卷二,第21-24章,模块1-后半本账,多个场景,Grace开始发任务,"Iris接触账本异常痕迹","Adrian旧便利线失效","从被布置到主动追查","卷二入口:任务期开始","影账 existence 仅回响","设置:任务链条",,""
卷二,第25-28章,模块2-慈善层,慈善晚宴/媒体,公开层与晚宴层并行施压,"Vivian管理员气场正面化","与Adrian暧昧升温(无身体亲密)","理解\"善意管理\"压力","爽点:与Vivian交锋",影账开始浮出,"设置:Vivian系统伦理",,""
卷二,第29-32章,模块3-影账浮出,调查/追踪,影账痕迹但不讲满,"改写前后差异,第一轮假答案","Grace继续只给半步","怀疑系统保留争议版本","认知升级:系统也在留后路",影账 existence 允许揭示,"设置:影账=最初+改写",,"延迟揭示执行"
卷二,第33-36章,模块4-连续性,生存场景,private continuity生存状态压力,-,"意识到救人与公开不同向","伦理困境:公开vs保护",-,"Grace彻底固定为任务布置者",,""
卷二,第37-40章,模块5-合作深化,危机场景,Adrian被切割旧签字链,"Iris主动保护Adrian","从带账同盟到情感确认","合作裂缝→深化","身体proximity升级(无越界)",-,"设置:卷三身体亲密铺垫",,"CP张力峰值"
卷二,第41-44章,模块6-卷尾爆点,对峙/揭示,Grace非单纯幸存者确认,"影账保留最初+改写","情感确认但不圆满","理解姐姐方法论","卷尾钩:系统交易确定性",-,"回收:Grace状态","门开向卷三","卷二完结"
卷三,第45-48章,模块1-跨城,Harbor City,跨城视野打开,"Harbor City失败试点",-,"圣雷纳不是起源地","格局升级:跨城方法",Harbor City坐实,-,"设置:种子方法来源",,""
卷三,第49-52章,模块2-市场化,媒体/市场,公众版本市场化,"Voss=版本银行家",-,"理解确定性市场","认知升级:交易的是公众相信什么",-,"设置:Certainty Market",,""
卷三,第53-56章,模块3-父亲线,旧案调查,Elias方法责任深化,"Basement与chamber override重排序",-,"父亲明知故犯","伦理冲击:父亲责任",-,"回收:父亲录像伦理",,""
卷三,第57-60章,模块4-Grace动过笔,追踪,Grace碰过/改过/留过后手,-,"姐妹关系失衡","Grace也开始用系统","关系转折:寻回→对立",-,"设置:Grace方法论暴露",,""
卷三,第61-64章,模块5-Adrian旧案,旧证人,Adrian承认签过系统,-,"旧证人链炸穿","Adrian从控火者变火线",-,"回收:Adrian延迟协议",,""
卷三,第65-68章,模块6-卷尾爆点,揭示,Harbor City与种子方法,"San Reina是优化重做版",-,"来源抬升:有更高层",-,"回收:Harbor City失败",,"卷三完结"
卷四,第69-72章,模块1-伦理战,对峙,Vivian系统伦理完整抛出,"治理结果vs口号",-,"理解\"善意\"的恐怖","伦理对决:真相vs治理",-,"设置:分布式授权",,"反派最强大"
卷四,第73-76章,模块2-父亲辈,旧案,父亲辈\"必要之恶\"拆解,-,"Grace与Adrian立场分叉","父亲辈责任拆解","情感冲击:父权倒塌",-,"回收:Elias明知怯懦",,""
卷四,第77-80章,模块3-证人链,危机,旧证人链炸穿,Adrian变火线,-,"共同面对后果","合作深化(无身体)",-,"回收:Adrian旧案",,""
卷四,第81-84章,模块4-Grace武器化,对峙,Grace武器化影账,"将影账当武器使用","姐妹真正决裂","不是误会是方法分歧","情感高潮:血缘+伦理+方法",-,"设置:Grace滑向边缘",,""
卷四,第85-88章,模块5-释放顺序,对抗,公开与释放顺序之战,-,"被迫面对释放顺序问题","成长:揭露者→结构设计者",-,"设置:公开结构vs个体",,""
卷四,第89-92章,模块6-卷尾爆点,揭示,敌人抬升为授权结构,"分布式授权与编辑结构",-,"终局敌人不是人是结构",-,"回收:编辑权分布式",,"拒绝烧文件通关;卷四完结"
卷五,第93-96章,模块1-终局站位,多个场景,终局站位各自成形,"Iris/Grace/Adrian/Vivian位置明确",-,"带着代价进入终局",-,-,-,"不可逆后果"
卷五,第97-100章,模块2-编辑权,对抗,争抢编辑权,"公开结构与保护个体冲突",-,"谁有权决定释放顺序","主战场:编辑权争夺",-,-,""
卷五,第101-104章,模块3-本地主账,破坏,本地主账受创但方法未死,"切断本地更新",-,"系统不会死只会换形式",-,"回收:方法不死",,"拒绝低级胜利"
卷五,第105-108章,模块4-最终对位,姐妹对峙,Grace险些滑向新管理员,"Iris阻止Grace(拉回姐姐)","姐妹对峙(血缘+伦理+方法)","不是杀敌人是拉回亲人","情感终局:边缘和解",-,"设置:Crown Harbor",,""
卷五,第109-112章,模块5-公开结构,终局操作,终局公开结构,"公开编辑结构,不交个体底稿",-,"结构设计胜道德宣言",-,"回收:怎么公开",,""
卷五,第113-116章,模块6-余震,尾声,本地主账死方法残片被接走,"系统以更体面白皮书归来",-,"循环继续;开放性","余震收束,不做假性圆满",-,"回收:方法传承",,"全书完结;系统赢了;但Iris成长了"
